Country;2017;2018;2019;2020;2021
AU;50.699 ;52.981 ;52.669 ;55.635 ;60.575 
AT;54.188 ;56.978 ;58.091 ;55.686 ;59.393 
CA;48.317 ;49.892 ;49.287 ;46.572 ;50.722 
CZ;38.843 ;41.149 ;42.857 ;41.599 ;44.920 
DK;55.356 ;57.479 ;58.675 ;60.244 ;65.669 
EE;33.868 ;36.328 ;37.909 ;37.659 ;42.911 
FI;47.570 ;49.575 ;50.322 ;50.926 ;55.740 
FR;44.446 ;46.375 ;48.800 ;46.691 ;51.184 
DE;53.071 ;55.235 ;55.653 ;54.844 ;58.674 
HU;29.501 ;31.913 ;33.515 ;33.274 ;37.303 
IS;55.638 ;57.208 ;58.195 ;53.381 ;58.028 
IT;41.951 ;43.428 ;44.376 ;41.995 ;46.613 
JP;41.531 ;42.239 ;42.439 ;42.285 ;44.625 
KR;40.957 ;43.026 ;43.045 ;45.274 ;..
NL;55.090 ;57.825 ;59.004 ;59.265 ;64.772 
NZ;42.008 ;42.334 ;45.251 ;44.698 ;..
NO;64.050 ;69.807 ;66.798 ;62.650 ;68.453 
PL;29.715 ;31.588 ;33.428 ;34.060 ;38.027 
PT;33.045 ;34.929 ;36.172 ;34.177 ;36.381 
SK;30.066 ;31.219 ;31.972 ;31.346 ;33.409 
ES;39.580 ;40.756 ;41.721 ;37.764 ;41.424 
SE;51.948 ;53.522 ;54.599 ;55.065 ;60.383 
CH;69.104 ;71.660 ;72.034 ;71.732 ;76.902 
GB;46.386 ;47.591 ;49.070 ;46.527 ;51.374 
US;59.897 ;62.784 ;65.056 ;63.285 ;..